"id","order_line/name","order_line/product_qty"
"__export__.purchase_order_19","PLT-C-R13","6.0"
"","PLT-C-R14","414.0"
"","PLT-C-R15","569.0"
"","PLT-C-R16","191.0"
"","PLT-C-R17","142.0"
"","PLT-C-R18","66.0"
"","PLT-C-R20","28.0"
"__export__.purchase_order_18","PLT-C-R13","8.0"
"","PLT-C-R14","352.0"
"","PLT-C-R15","706.0"
"","PLT-C-R16","377.0"
"","PLT-C-R17","56.0"
"","PLT-C-R18","18.0"
"","PLT-C-R19","4.0"
"","PLT-C-R20","8.0"
"__export__.purchase_order_17","PLT-A-R13","24.0"
"","PLT-A-R14","103.0"
"","PLT-A-R15","197.0"
"","PLT-A-R16","215.0"
"","PLT-A-R17","153.0"
"","PLT-A-R18","79.0"
"","PLT-A-R19","19.0"
"","PLT-A-R20","31.0"
"","PLT-B-R13","5.0"
"","PLT-B-R14","35.0"
"","PLT-B-R15","117.0"
"","PLT-B-R16","153.0"
"","PLT-B-R17","103.0"
"","PLT-B-R18","40.0"
"","PLT-B-R19","12.0"
"","PLT-B-R20","19.0"
"__export__.purchase_order_16","250W LED Light","5.0"
"","ZT200 Zebra Printer","1.0"
"","Exit Emergency Lights","3.0"
"","Label for Zebra","10.0"
"","200 amp LED Lamp","1.0"
"__export__.purchase_order_13","Doubling Services","1.0"
"__export__.purchase_order_12","PLT-C-R13","8.0"
"","PLT-C-R14","389.0"
"","PLT-C-R15","571.0"
"","PLT-C-R16","277.0"
"","PLT-C-R17","119.0"
"","PLT-C-R18","9.0"
"","PLT-C-R19","6.0"
"","PLT-C-R20","44.0"
"__export__.purchase_order_11","PLT-C-R13","10.0"
"","PLT-C-R14","538.0"
"","PLT-C-R15","733.0"
"","PLT-C-R16","241.0"
"","PLT-C-R17","46.0"
"","PLT-C-R18","4.0"
"","PLT-C-R19","20.0"
"","PLT-C-R20","16.0"
"__export__.purchase_order_15","Snap- on 15gl","3.0"
"","Snap- on 15gl","1.0"
"","""Whalen 72""","1.0"
"","DCM289WDD","1.0"
"","U-Shapd Desk","5.0"
"","Executive Chair","5.0"
"","KS 6QT HA","1.0"
"","Stand Mixer","1.0"
"","Fire Safe","1.0"
"","WG Ladder","2.0"
"","4.4 Dandy","1.0"
"","KS Cookware","1.0"
"","2PK Skillet","1.0"
"","Ancona 5"" Hood","1.0"
"","Deep Fryer","1.0"
"","Toaster","1.0"
"","Kubota","1.0"
"","Water Cooler","3.0"
"","Sony TV 48""","2.0"
"","SS Bowl","1.0"
"","Belkin Surge","3.0"
"","OXO Salad","1.0"
"","APC BX1300G","2.0"
"","Henkel 10 pc","1.0"
"","AVF 22"" - 47""","2.0"
"","Oven","1.0"
"","Carpet","3.0"
"","Ice Machine","1.0"
"__export__.purchase_order_14","PLT-C-R13","2.0"
"","PLT-C-R14","163.0"
"","PLT-C-R15","229.0"
"","PLT-C-R16","37.0"
"","PLT-C-R17","22.0"
"","PLT-C-R15","22.0"
"__export__.purchase_order_20","Doubling Services","1.0"
"__export__.purchase_order_10","PLT-C-R13","2.0"
"","PLT-C-R14","163.0"
"","PLT-C-R15","229.0"
"","PLT-C-R16","37.0"
"","PLT-C-R17","22.0"
"","PLT-T-R15","22.0"
"__export__.purchase_order_9","Computer","4.0"
"","Refurbished LCD","1.0"
"","Cyber power","4.0"
"","Cyclops Light ","1.0"
"","Mixer","1.0"
"","Halo Remodel Can","8.0"
"","Halo 3inch lights","12.0"
"","Husky Led Light","1.0"
"","Teffan Light","3.0"
"","Led 6in bathroom light","8.0"
"","4L Bathroom Light Hamilton Beach","3.0"
"","Laundry Tub","1.0"
"","Water Cooler","1.0"
"","Rubber Hoses","2.0"
"","Oganizer Bar","1.0"
"","Mop Bucket","1.0"
"","Spray can","1.0"
"__export__.purchase_order_8","PLT-C-R13","23.0"
"","PLT-C-R14","408.0"
"","PLT-C-R15","690.0"
"","PLT-C-R16","341.0"
"","PLT-C-R17","55.0"
"","PLT-C-R18","24.0"
"","PLT-C-R19","17.0"
"","PLT-C-R20","10.0"
"__export__.purchase_order_7","PLT-C-R13","8.0"
"","PLT-C-R14","42.0"
"","PLT-C-R15","119.0"
"","PLT-C-R16","125.0"
"","PLT-C-R17","83.0"
"","PLT-C-R18","2.0"
"__export__.purchase_order_6","PLT-C-R13","23.0"
"","PLT-C-R14","241.0"
"","PLT-C-R15","653.0"
"","PLT-C-R16","483.0"
"","PLT-C-R17","87.0"
"","PLT-C-R18","26.0"
"","PLT-C-R19","5.0"
"","PLT-C-R20","30.0"
"__export__.purchase_order_5","PLT-C-R13","22.0"
"","PLT-C-R14","308.0"
"","PLT-C-R15","614.0"
"","PLT-C-R16","359.0"
"","PLT-C-R17","82.0"
"","PLT-C-R18","56.0"
"","PLT-C-R19","32.0"
"","PLT-C-R20","41.0"
"__export__.purchase_order_4","Acer All in one computer ""Aspire""","1.0"
"","Printer MFC-8950 Brother DW","1.0"
"","Sdrewdriver set Milwake","1.0"
"","Hundred foot extension","3.0"
"","Power Drill Milwalker","1.0"
"","Screwdriver set Husky","1.0"
"","Plyer set","1.0"
"","Eastwing Hammer","1.0"
"","Drywall Saw","1.0"
"","Measuring tape","1.0"
"","Steel tape ","1.0"
"","Staples gun","1.0"
"","Cable Strippers","1.0"
"","Digital Multi Meter","1.0"
"","Drill Bosh","1.0"
"","Clip Tie","3.0"
"","8 Inch Cable Tie","1.0"
"","11 Inch Cable Tie","1.0"
"","Circular Saw","1.0"
"","Microwave Panasonic","1.0"
"","Coffee Machine","1.0"
"","Coax Cable one thousand feet","1.0"
"","HDMI Converse","2.0"
"","Cordless Saw","1.0"
"","Batteries Triple A","1.0"
"","Batteries One","1.0"
"","Batteries Double A","1.0"
"","Brother Label Printer","1.0"
"","Scotch Tape Kit","1.0"
"","Printer Zibra Used ZM400","1.0"
"","Tool Set Husky","1.0"
"","Pack Of Scissors","1.0"
"","Wrecking Bar","1.0"
"","Outdoor Lighting","2.0"
"","Used LCD 42"" TV","3.0"
"","Used Computer Dell All In One","2.0"
"","Used Sound System Fender","1.0"
"","Drill Set Millwaulke","1.0"
"","Battery Back Up","4.0"
"__export__.purchase_order_3","PLT-T-R13","46.0"
"","PLT-T-R14","368.0"
"","PLT-T-R15","549.0"
"","PLT-T-R16","294.0"
"","PLT-T-R17","76.0"
"","PLT-T-R18","27.0"
"","PLT-T-R19","4.0"
"","PLT-T-R20","7.0"
"","PLT-T-R22","2.0"
"__export__.purchase_order_2","PLT-A-R13","82.0"
"","PLT-A-R14","157.0"
"","PLT-A-R15","253.0"
"","PLT-A-R16","196.0"
"","PLT-A-R17","97.0"
"","PLT-A-R18","29.0"
"","PLT-A-R19","13.0"
"","PLT-A-R20","9.0"
"","PLT-A-R21","3.0"
"","PLT-A-R22","19.0"
"","PLT-B-R13","84.0"
"","PLT-B-R14","169.0"
"","PLT-B-R15","184.0"
"","PLT-B-R16","109.0"
"","PLT-B-R17","59.0"
"","PLT-B-R18","10.0"
"","PLT-B-R19","7.0"
