id,code,name,parent_id/id,type,user_type/id,reconcile
default_chart_a_account_1,0,Your Company,,view,account.data_account_type_view,false
default_chart_a_account_2,1,Activos,default_chart_a_account_1,view,account.data_account_type_asset,false
default_chart_a_account_58,2,Pasivos,default_chart_a_account_1,view,account.data_account_type_liability,false
default_chart_a_account_73,3,Capital,default_chart_a_account_1,view,account.data_account_type_view,false
default_chart_a_account_85,4,Ingresos,default_chart_a_account_1,view,account.data_account_type_income,false
default_chart_a_account_95,5,Costos,default_chart_a_account_1,view,account.data_account_type_expense,false
default_chart_a_account_105,6,Gastos,default_chart_a_account_1,view,account.data_account_type_expense,false
default_chart_a_account_9,112020,Banco y caja,default_chart_a_account_2,view,account.data_account_type_asset,true
default_chart_a_account_13,113010,Cuentas por Cobrar Clientes,default_chart_a_account_2,receivable,account.data_account_type_receivable,true
default_chart_a_account_61,211010,Suplidores,default_chart_a_account_58,payable,account.data_account_type_payable,true
default_chart_a_account_87,411000,Ventas,default_chart_a_account_85,other,account.data_account_type_income,false
default_chart_a_account_101,521000,Compras de mercancias,default_chart_a_account_95,other,account.data_account_type_expense,false
default_chart_a_account_712,212062,ISR 10% retenido a personas fisicas,default_chart_a_account_58,other,account.data_account_type_payable,false
default_chart_a_account_53,161000,ITBIS Pagado en compras,default_chart_a_account_2,other,account.data_account_type_asset,false
default_chart_a_account_57,165000,ITBIS por servicios deducibles,default_chart_a_account_2,other,account.data_account_type_asset,false
default_chart_a_account_56,164000,ITBIS Pagado en importaciones,default_chart_a_account_2,other,account.data_account_type_asset,false
default_chart_a_account_163,212061,ITBIS 18% retenido a personas fisicas,default_chart_a_account_58,other,account.data_account_type_payable,false
default_chart_a_account_71,212060,ITBIS,default_chart_a_account_58,other,account.data_account_type_payable,false
default_chart_a_account_529,61122,Telecomunicaciones,default_chart_a_account_105,other,account.data_account_type_expense,false
