id,code,name,parent_id/id,user_type/id,type,reconcile
"marcos_l10n_do.default_chart_a_account_1","0","Your Company","","account.data_account_type_view","Vista","False"
"marcos_l10n_do.default_chart_a_account_2","1","Activos","marcos_l10n_do.default_chart_a_account_1","account.account_type_asset_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_3","11","Activos Corrientes","marcos_l10n_do.default_chart_a_account_2","account.account_type_asset_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_4","111","Efectivo en Caja","marcos_l10n_do.default_chart_a_account_3","account.account_type_asset_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_5","111010","Caja Chica","marcos_l10n_do.default_chart_a_account_4","account.account_type_asset_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_165","11101002","Caja Chica","marcos_l10n_do.default_chart_a_account_4","account.data_account_type_cash","Liquidez","False"
"marcos_l10n_do.default_chart_a_account_170","111030","Caja","marcos_l10n_do.default_chart_a_account_4","account.account_type_asset_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_172","11103001","Efectivo en caja","marcos_l10n_do.default_chart_a_account_4","account.data_account_type_cash","Liquidez","False"
"marcos_l10n_do.default_chart_a_account_173","11103002","Cheques en caja","marcos_l10n_do.default_chart_a_account_170","account.data_account_type_cash","Liquidez","False"
"marcos_l10n_do.default_chart_a_account_174","11103003","Diferencia en caja","marcos_l10n_do.default_chart_a_account_170","account.data_account_type_cash","Liquidez","False"
"marcos_l10n_do.default_chart_a_account_176","11103005","Caja en transito","marcos_l10n_do.default_chart_a_account_170","account.data_account_type_cash","Liquidez","False"
"marcos_l10n_do.default_chart_a_account_7","112","Efectivo en Bancos","marcos_l10n_do.default_chart_a_account_3","account.account_type_asset_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_9","112020","Banco Popular","marcos_l10n_do.default_chart_a_account_7","account.data_account_type_bank","Liquidez","False"
"marcos_l10n_do.default_chart_a_account_180","112021","Cheques en transito Banco Popular","marcos_l10n_do.default_chart_a_account_7","account.data_account_type_bank","Liquidez","False"
"marcos_l10n_do.default_chart_a_account_181","112022","Operaciones en transito Banco Popular","marcos_l10n_do.default_chart_a_account_7","account.data_account_type_bank","Liquidez","False"
"marcos_l10n_do.default_chart_a_account_177","112030","Pagos electronicos","marcos_l10n_do.default_chart_a_account_7","account.account_type_asset_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_179","11203003","Visanet","marcos_l10n_do.default_chart_a_account_177","account.data_account_type_bank","Liquidez","False"
